"Store_Name","Longitude","Latitude","Address","Address Line #2","City","State","Zip5","Zip4","County"
"SAM NEIGHBORHOOD GROCERY STORE INC.","-73.961929","40.682415","974 FULTON ST","","BROOKLYN","NY","11238","2495","KINGS"
"BLONDIES FOOD STORE INC","-73.975502","40.651566","607 GREENWOOD AVE.","","BROOKLYN","NY","11218","","KINGS"
"Sugar Creek 173","-76.878288","42.160286","3311 Chambers Rd","","Horseheads","NY","14845","1401","CHEMUNG"
"Sugar Creek 190","-78.209648","42.995411","189 Pearl St","","Batavia","NY","14020","2926","GENESEE"
"Sugar Creek 597","-75.942497","43.988228","1279 Coffeen St","","Watertown","NY","13601","1821","JEFFERSON"
"SUPER STYLE DELI FOOD INC","-73.945152","40.815987","251 W 135TH STREET","","NEW YORK","NY","10030","2840","NEW YORK"
"Sunrise Food Mart Inc","-73.379517","40.700363","49 Sunrise Hwy","","Lindenhurst","NY","11757","2532","SUFFOLK"
"Hamzah Deli & Grocery Corp","-73.910759","40.677788","145 Rockaway Ave","","Brooklyn","NY","11233","3437","KINGS"
"7 Eleven (26673B) 26673B","-73.918358","40.629116","1970 Ralph Ave","","Brooklyn","NY","11234","5302","KINGS"
"7-Eleven Inc #20944","-73.823219","40.729282","6958 Main St","","Flushing","NY","11367","1724","QUEENS"
"Rite Aid 3194","-78.749954","42.961956","5447 Main St","","Williamsville","NY","14221","6647","ERIE"
"Rite Aid 4982","-78.737953","43.024593","1640 Hopkins Rd","","Williamsville","NY","14221","","ERIE"
"Family Dollar 7999","-73.104248","40.826824","222 Portion Rd","","Ronkonkoma","NY","11779","2347","SUFFOLK"
"Caroline Deli Grocery Inc","-73.903175","40.849102","1915 Anthony Ave","","Bronx","NY","10457","5305","BRONX"
"Monroe Deli & Grocery LLC","-73.902451","40.860676","2374 Jerome Ave","","Bronx","NY","10468","6401","BRONX"
"Janelyn Deli Grocery Inc","-73.949234","40.80751","2059 Adam Clayton Powell Jr Blvd","","New York","NY","10027","5401","NEW YORK"
"RANALDI'S DELI","-73.833824","40.83672","3191 E Tremont Ave","","Bronx","NY","10461","5718","BRONX"
"Uptown Supermarket Corp","-73.932007","40.857788","4488 Broadway","","New York","NY","10040","2606","NEW YORK"
"Quick Chek Corporation 98","-74.388542","41.442711","1-9 County Highway #108","","Middletown","NY","10940","6948","ORANGE"
"EL FLACO FOOD CORP","-73.917747","40.654499","1093 Linden Blvd","","Brooklyn","NY","11212","1601","KINGS"
"New Kantamonto Africa Carribean Market","-73.90818","40.85128","61 E Tremont Ave","","Bronx","NY","10453","5841","BRONX"
